Trade Id,Exec Id,Account Id,Instrument Symbol,Instrument Name,Order Id,Currency,Execution Type,Quantity,Price,Take Profit,Stop Loss,gsl,Source,Status,rpl,Rpl Converted,Swap,Swap Converted,Fee,Timestamp,Account type
"0018314c-0001-54c4-0000-0000802e01a7","0018314c-0001-54c4-0000-4a5e0000496f","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802e01a6","USD","IOC","-100","5.23","","","false","USER","OPENED","0","0","","","0","2022-02-15 18:15:26","CFD"
"0008e1cf-0001-54c4-0000-0000800f0429","0008e1cf-0001-54c4-0000-4a3d00002050","20154198461011282","BNGO","Bionano Genomics, Inc.","0008e1cf-0001-54c4-0000-0000800f0428","USD","IOC","20","2.61","","","false","USER","OPENED","0","0","","","0","2022-01-13 17:56:11","CFD"
"0018314c-0001-54c4-0000-000080291ec9","0018314c-0001-54c4-0000-4a3b00003913","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080291f0a","USD","IOC","-5","5.09","","5.09","false","SL","CLOSED","0.45","0.4","","","0","2022-01-11 15:56:12","CFD"
"0018314c-0001-54c4-0000-000080291ec9","0018314c-0001-54c4-0000-4a3b0000115b","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080291ec8","USD","IOC","5","5","","","false","USER","OPENED","0","0","","","0","2022-01-11 14:32:07","CFD"
"000d23dd-0001-54c4-0000-0000801adffc","000d23dd-0001-54c4-0000-4a170001dc2c","20154198461011282","CRO/USD","Crypto.com Coin / USD","000d23dd-0001-54c4-0000-0000801afcca","USD","IOC","-50","0.58","","","false","USER","CLOSED","1.03","0.91","","","0","2021-12-06 21:54:50","CFD"
"000d23dd-0001-54c4-0000-0000801adffc","000d23dd-0001-54c4-0000-4a150003a4e2","20154198461011282","CRO/USD","Crypto.com Coin / USD","000d23dd-0001-54c4-0000-0000801adffb","USD","IOC","50","0.55","","","false","USER","OPENED","0","0","","","0","2021-12-04 12:13:23","CFD"
"0018314c-0001-54c4-0000-0000802506f0","0018314c-0001-54c4-0000-4a120000140b","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802507a0","USD","IOC","90","8.83","","","false","USER","CLOSED","0.9","0.79","","","0","2021-12-01 14:29:17","CFD"
"0018314c-0001-54c4-0000-0000802506f2","0018314c-0001-54c4-0000-4a120000140c","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802507a0","USD","IOC","90","8.83","","","false","USER","CLOSED","0.9","0.79","","","0","2021-12-01 14:29:17","CFD"
"0018314c-0001-54c4-0000-0000802506f2","0018314c-0001-54c4-0000-4a1200000247","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802506f1","USD","IOC","-90","8.84","","","false","USER","OPENED","0","0","","","0","2021-12-01 09:10:18","CFD"
"0018314c-0001-54c4-0000-0000802506f0","0018314c-0001-54c4-0000-4a1200000206","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802506ef","USD","IOC","-90","8.84","","","false","USER","OPENED","0","0","","","0","2021-12-01 09:10:09","CFD"
"0018314c-0001-54c4-0000-0000802209a9","0018314c-0001-54c4-0000-4a090000d1ca","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080242cc7","USD","IOC","40","9.31","8","","false","USER","CLOSED","-101.2","-89.88","","","0","2021-11-22 16:55:40","CFD"
"0008e1cf-0001-54c4-0000-0000800e036a","0008e1cf-0001-54c4-0000-4a0500002932","20154198461011282","BNGO","Bionano Genomics, Inc.","0008e1cf-0001-54c4-0000-0000800e0369","USD","IOC","20","4.53","","","false","USER","OPENED","0","0","","","0","2021-11-18 16:02:03","CFD"
"0018314c-0001-54c4-0000-0000802423b6","0018314c-0001-54c4-0000-4a0400012357","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802423b5","USD","IOC","90","10.29","","","false","USER","OPENED","0","0","","","0","2021-11-17 19:52:35","CFD"
"0018314c-0001-54c4-0000-000080242399","0018314c-0001-54c4-0000-4a0400011ab1","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802423ad","USD","IOC","-90","10.31","","10.31","false","SL","CLOSED","0.9","0.8","","","0","2021-11-17 19:18:57","CFD"
"0018314c-0001-54c4-0000-000080242399","0018314c-0001-54c4-0000-4a0400010f11","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080242398","USD","IOC","90","10.3","","","false","USER","OPENED","0","0","","","0","2021-11-17 18:40:13","CFD"
"00513301-0001-54c4-0000-0000802839d2","00513301-0001-54c4-0000-4a0400002527","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-00008028963f","USD","IOC","-0.6","1101.18","1369.14","","false","USER","CLOSED","9.08","8.03","","","0","2021-11-17 15:42:51","CFD"
"0018314c-0001-54c4-0000-00008024227b","0018314c-0001-54c4-0000-4a040000823d","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-00008024227a","USD","IOC","100","10.76","","","false","USER","OPENED","0","0","","","0","2021-11-17 15:12:16","CFD"
"0018314c-0001-54c4-0000-0000802421c0","0018314c-0001-54c4-0000-4a04000029e1","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802421c1","USD","IOC","-130","10.33","","10.33","false","SL","CLOSED","2.6","2.3","","","0","2021-11-17 14:31:03","CFD"
"0018314c-0001-54c4-0000-0000802421c0","0018314c-0001-54c4-0000-4a0400001c95","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802421bf","USD","IOC","130","10.31","","","false","USER","OPENED","0","0","","","0","2021-11-17 14:26:17","CFD"
"0018314c-0001-54c4-0000-000080241ef8","0018314c-0001-54c4-0000-4a030000e127","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-00008024206b","USD","IOC","-130","10.35","12.44","10.35","false","SL","CLOSED","11.7","10.33","","","0","2021-11-16 17:34:32","CFD"
"0018314c-0001-54c4-0000-000080241ef8","0018314c-0001-54c4-0000-4a030000673d","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241ef7","USD","IOC","130","10.26","","","false","USER","OPENED","0","0","","","0","2021-11-16 14:49:24","CFD"
"0018314c-0001-54c4-0000-000080241e8c","0018314c-0001-54c4-0000-4a03000044e2","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241e95","USD","IOC","-120","10.56","","10.56","false","SL","CLOSED","1.2","1.06","","","0","2021-11-16 14:31:32","CFD"
"0018314c-0001-54c4-0000-000080241e8c","0018314c-0001-54c4-0000-4a0300003b2d","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241e8b","USD","IOC","120","10.55","","","false","USER","OPENED","0","0","","","0","2021-11-16 14:29:29","CFD"
"0018314c-0001-54c4-0000-000080241d40","0018314c-0001-54c4-0000-4a03000011db","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241e01","USD","IOC","-120","10.77","12.99","10.77","false","SL","CLOSED","1.2","1.06","","","0","2021-11-16 10:41:50","CFD"
