tradeId,trade_type,trade_currency,opened_date,closed_date,price_1,price_2,price_1_in_euros,price_2_in_euros,quantity_1,quantity_2,purchase_price,sales_price,purchase_price_in_euros,sales_price_in_euros,profit_loss_in_original_currency,profit_loss_in_euros,profit_loss_in_euros_calculated
00001344-0001-54c4-0000-000080172ebd,SHORT,USD,2022-03-11 15:54:01,2022-03-11 16:17:16,105.81,107.14,96.27843494085533,97.48862602365787,9.0,-9.0,964.26,952.29,877.4,866.51,11.97,10.93,10.89
0018314c-0001-54c4-0000-0000803201e4,SHORT,USD,2022-03-10 19:49:37,2022-03-11 16:14:19,6.67,6.82,6.017683146878383,6.153013352580296,180.0,-180.0,1227.6,1200.6,1107.54,1083.18,27.0,24.65,24.36
00001344-0001-54c4-0000-000080172a79,SHORT,USD,2022-03-10 15:04:29,2022-03-10 15:47:38,105.2,105.69,94.91158426560808,95.35366293756766,9.0,-9.0,951.21,946.8,858.18,854.2,4.41,4.0,3.98
00001344-0001-54c4-0000-000080172927,SHORT,USD,2022-03-09 19:34:12,2022-03-09 19:50:10,110.92,110.94,100.90057309196762,100.91876648776494,9.0,-9.0,998.46,998.28,908.27,908.11,0.18,0.16,0.16
0008e1cf-0001-54c4-0000-0000801200e1,LONG,USD,2022-03-09 14:59:55,2022-03-09 17:21:03,1.89,1.88,1.7192759028472664,1.7101792049486035,-10.0,10.0,18.8,18.9,17.1,17.19,0.1,0.09,0.09
00001344-0001-54c4-0000-0000801727ee,SHORT,USD,2022-03-09 15:34:37,2022-03-09 16:20:29,109.02,109.61,99.17220049122169,99.70890566724279,9.0,-9.0,986.49,981.18,897.38,892.55,5.31,4.8,4.83
00001344-0001-54c4-0000-000080172772,SHORT,USD,2022-03-09 15:04:28,2022-03-09 15:18:14,109.27,109.44,99.39961793868825,99.55426180296553,9.0,-9.0,984.96,983.43,895.99,894.6,1.53,1.39,1.39
00001344-0001-54c4-0000-0000801726b4,SHORT,USD,2022-03-09 14:26:28,2022-03-09 14:30:12,109.1,109.34,99.24497407441099,99.4632948239789,9.0,-9.0,984.06,981.9,895.17,893.2,2.16,1.96,1.97
00001344-0001-54c4-0000-00008017265a,SHORT,USD,2022-03-09 10:47:00,2022-03-09 13:10:50,109.0,108.99,99.15400709542436,99.14491039752569,9.0,-9.0,980.91,981.0,892.3,892.39,-0.09,-0.08,-0.09
00001344-0001-54c4-0000-000080162c3c,LONG,USD,2022-02-24 16:32:02,2022-03-02 20:00:37,118.56,110.0,106.20800859983875,98.53981904505956,-10.0,10.0,1100.0,1185.6,985.4,1062.08,85.6,76.94,76.68
