tradeId,trade_type,trade_currency,opened_date,closed_date,price_1,price_2,price_1_in_euros,price_2_in_euros,quantity_1,quantity_2,purchase_price,sales_price,purchase_price_in_euros,sales_price_in_euros,profit_loss_in_original_currency,profit_loss_in_euros,profit_loss_in_euros_calculated
0008e1cf-0001-54c4-0000-0000800600c6,LONG,USD,2021-09-13 13:55:33,2021-11-02 15:31:42,6.11,5.4,5.186757215619695,4.584040747028863,-9.0,9.0,48.6,54.99,41.26,46.68,6.39,5.51,5.42
00000006-0001-54c4-0000-00008014096a,LONG,USD,2021-10-28 14:32:05,2021-11-01 17:08:13,17.68,16.93,15.25058224790822,14.603640127663246,-50.0,50.0,846.5,884.0,730.18,762.53,37.5,32.34,32.35
0018314c-0001-54c4-0000-000080231a3b,LONG,USD,2021-10-22 13:34:07,2021-10-29 15:10:44,7.88,7.9,6.775580395528804,6.792777300085985,-10.0,10.0,79.0,78.8,67.93,67.76,-0.2,-0.17,-0.17
0018314c-0001-54c4-0000-0000802321e4,LONG,USD,2021-10-27 13:33:18,2021-10-29 15:10:44,7.88,7.4,6.783162606524921,6.369975036584317,-10.0,10.0,74.0,78.8,63.7,67.83,4.8,4.15,4.13
0018314c-0001-54c4-0000-000080232064,LONG,USD,2021-10-26 15:32:10,2021-10-29 15:10:44,7.88,7.3,6.78257875710105,6.283353417111379,-10.0,10.0,73.0,78.8,62.83,67.83,5.8,5.01,5.0
0018314c-0001-54c4-0000-0000802322d9,LONG,USD,2021-10-27 18:08:02,2021-10-29 15:10:44,7.88,7.1,6.783162606524921,6.111732805371438,-10.0,10.0,71.0,78.8,61.12,67.83,7.8,6.74,6.71
0018314c-0001-54c4-0000-000080231d99,LONG,USD,2021-10-25 12:43:07,2021-10-25 20:00:23,7.5,7.5,6.463845557183486,6.463845557183486,-30.0,30.0,225.0,225.0,193.92,193.92,0.0,0.0,0.0
0018314c-0001-54c4-0000-000080231c6e,LONG,USD,2021-10-22 19:22:34,2021-10-25 19:53:23,7.48,7.25,6.4316423043852105,6.233877901977644,-10.0,10.0,72.5,74.8,62.34,64.32,2.3,1.98,1.98
0018314c-0001-54c4-0000-000080110177,LONG,USD,2021-07-01 16:57:46,2021-10-18 14:00:58,8.6,8.51,7.236620666442276,7.160888589700438,-5.0,5.0,42.55,43.0,35.8,36.18,0.45,0.39,0.38
0018314c-0001-54c4-0000-000080120160,LONG,USD,2021-07-07 14:08:49,2021-10-18 14:00:58,8.6,8.0,7.269038965429803,6.761896712027723,-20.0,20.0,160.0,172.0,135.24,145.38,12.0,10.34,10.14
0018314c-0001-54c4-0000-00008011016e,LONG,USD,2021-07-01 15:54:45,2021-10-18 14:00:58,8.6,8.65,7.236620666442276,7.278694042409964,-20.0,20.0,173.0,172.0,145.57,144.73,-1.0,-0.86,-0.84
0004405d-0001-54c4-0000-00008027307d,LONG,USD,2021-10-12 10:10:55,2021-10-15 15:56:29,2.22,2.08,1.921246213760277,1.8000865426222417,-70.0,70.0,145.6,155.4,126.01,134.49,9.8,8.53,8.48
0008e1cf-0001-54c4-0000-000080060226,LONG,USD,2021-10-06 19:59:37,2021-10-07 14:40:44,5.11,5.0,4.427308958586035,4.332004851845435,-141.0,141.0,705.0,720.51,610.81,624.25,15.51,13.41,13.44
0015421d-0001-54c4-0000-0000819493a9,LONG,USD,2021-10-06 13:49:34,2021-10-06 15:23:35,3604.26,3600.0,3122.734361462485,3119.043493328713,-0.19,0.19,684.0,684.81,592.62,593.32,0.81,0.7,0.7
0000e255-0001-54c4-0000-0000802200a5,LONG,USD,2021-09-29 14:30:07,2021-10-05 19:04:36,23.97,23.66,20.56804530633259,20.302042217264457,-10.0,10.0,236.6,239.7,203.02,205.68,3.1,2.67,2.66
0000e255-0001-54c4-0000-0000802200a3,LONG,USD,2021-09-29 14:23:07,2021-10-05 19:04:34,23.97,23.77,20.56804530633259,20.396430410159603,-20.0,20.0,475.4,479.4,407.93,411.36,4.0,3.45,3.43
0004405d-0001-54c4-0000-000080229f07,LONG,USD,2021-09-19 21:25:19,2021-09-25 13:14:30,2.37,2.31,2.01188455008489,1.9609507640067914,-130.0,130.0,300.3,308.1,254.92,261.54,7.8,6.58,6.62
0004405d-0001-54c4-0000-000080229efc,LONG,USD,2021-09-19 21:25:16,2021-09-25 13:14:30,2.37,2.31,2.01188455008489,1.9609507640067914,-40.0,40.0,92.4,94.8,78.44,80.48,2.4,2.02,2.04
0004405d-0001-54c4-0000-000080229ee3,LONG,USD,2021-09-19 21:23:49,2021-09-25 13:14:30,2.37,2.31,2.01188455008489,1.9609507640067914,-50.0,50.0,115.5,118.5,98.05,100.59,3.0,2.53,2.54
0004405d-0001-54c4-0000-000080229edf,LONG,USD,2021-09-19 21:23:39,2021-09-25 13:14:30,2.37,2.31,2.01188455008489,1.9609507640067914,-80.0,80.0,184.8,189.6,156.88,160.95,4.8,4.05,4.07
0004405d-0001-54c4-0000-000080227371,LONG,USD,2021-09-17 18:37:29,2021-09-18 20:05:38,2.36,2.34,2.0033955857385397,1.9864176570458405,-247.0,247.0,577.98,582.92,490.65,494.84,4.94,4.49,4.19
0004405d-0001-54c4-0000-00008022736f,LONG,USD,2021-09-17 18:37:24,2021-09-18 20:05:23,2.36,2.34,2.0033955857385397,1.9864176570458405,-53.0,53.0,124.02,125.08,105.28,106.18,1.06,0.94,0.9
0018314c-0001-54c4-0000-000080201635,LONG,USD,2021-09-17 13:29:29,2021-09-17 13:53:17,6.23,6.22,5.288624787775892,5.280135823429542,-90.0,90.0,559.8,560.7,475.21,475.98,0.9,0.77,0.77
0018314c-0001-54c4-0000-00008020124e,LONG,USD,2021-09-15 13:56:08,2021-09-17 13:32:14,6.2,6.17,5.243572395128552,5.218200270635995,-20.0,20.0,123.4,124.0,104.36,104.87,0.6,0.51,0.51
0004405d-0001-54c4-0000-00008021e8da,LONG,USD,2021-09-13 11:57:26,2021-09-15 13:53:38,2.48,2.44,2.1052631578947367,2.071307300509338,-50.0,50.0,122.0,124.0,103.57,105.26,2.0,1.86,1.69
0015421d-0001-54c4-0000-0000818b4002,LONG,USD,2021-09-10 22:33:54,2021-09-11 09:47:19,3251.75,3225.83,2746.178532218563,2724.288489147876,-0.04,0.04,129.03,130.07,108.97,109.85,1.04,0.88,0.88
0008e1cf-0001-54c4-0000-00008003003d,LONG,USD,2021-08-17 13:30:01,2021-09-08 14:29:42,5.49,5.49,4.665590209909068,4.665590209909068,-20.0,20.0,109.8,109.8,93.31,93.31,0.0,0.0,0.0
005505cb-0001-54c4-0000-00008021001a,LONG,USD,2021-08-18 19:39:37,2021-08-23 13:30:44,42.21,40.97,36.00614177258382,34.948392049816604,-1.0,1.0,40.97,42.21,34.95,36.01,1.24,1.06,1.06
0001934d-0001-54c4-0000-000080030116,LONG,USD,2021-07-23 15:40:18,2021-08-06 16:16:25,12.41,11.97,10.546443443528512,10.172516359309935,-10.0,10.0,119.7,124.1,101.73,105.46,4.4,3.74,3.73
005505cb-0001-54c4-0000-0000802000b2,LONG,USD,2021-07-21 19:02:34,2021-07-23 15:40:01,55.05,55.05,46.76350662589194,46.76350662589194,-2.0,2.0,110.1,110.1,93.53,93.53,0.0,0.0,0.0
